,Start,End,Speaker,Text
0,0:00:00,0:00:23,SPEAKER 1," Hello and welcome to Dear Hank and John. It's a comedy podcast about death where myself  John Green and usually my brother Hank Green, although not this week because he is on paternity  leave, answer your questions, provide you dubious advice and bring you all the weeks news  from both Mars and AFC Wimbledon. This week, I am so thrilled to be joined by Ashley Ford.  Hi, Ashley. "
1,0:00:23,0:00:26,SPEAKER 2," Hi, John. I'm so glad to be here. "
2,0:00:26,0:00:34,SPEAKER 1," So tell us a little bit about yourself. Right, I like to put the self promo right at the beginning,  so 100% of listeners hear it. "
3,0:00:34,0:01:10,SPEAKER 2," Okay, my name is Ashley Ford. Obviously, I'm a writer and an editor and I do those things,  sort of like freelance or as some people want to be more fancy, call it self-employed.  Then during the day, I'm a development executive at a company called Matter Studios and I work  in web series and documentaries for them. I'm working on a book. I write stuff on the internet  all the time and I'm just like pretty much around, like I'm just around. "
4,0:01:10,0:01:23,SPEAKER 1," Actually, I think one of the best follows that you can possibly have on the website Twitter,  but also I'm a huge fan of your essays both memory and otherwise and very excited for your book. "
5,0:01:23,0:01:28,SPEAKER 2," Thanks, John. I'm excited about it too. We just got to do the thing, finish the thing. "
6,0:01:28,0:02:07,SPEAKER 1," I'm familiar with that very problem.  I'm living with it right now.  So Ashley, we've got to start the pod by answering the question that we received overwhelmingly  over the last few days, which is one version or another of what? Oh God! Panic!  What? How? What do we do? How do I move forward from people who are concerned about the results  of the U.S. election? And I don't know what to tell them. "
7,0:02:08,0:03:34,SPEAKER 2," You know, it's really tough. I don't necessarily know what to tell people right now,  which has been strange for me because I am that friend. People usually have who they call and  they say, I don't know how to feel and I don't know what to do. And I can offer reassurances.  And it was harder this time. It was so much harder. I had a really hard time reassuring myself.  I'm still not, I would say, properly reassured the way I want to be. But, you know, I think  at the end of the day, the thing that helps me sleep and the thing that helps me get out of bed  when I wake up is the idea that I'm one person, but I'm one person with some privilege and some power  and some say. And I did what I was supposed to do. I showed up at the polls and I cast my vote  and my person didn't win, but I don't think that that's the last vote I get to cast, you know?  And I think I actually cast votes every day with my choices, with my money, with the things  that I share on social media. I feel like now more than ever, I just need to be conscious  of how many votes I'm casting and in what direction I'm like, you know, hopefully influencing "
8,0:03:34,0:04:21,SPEAKER 1," the country in one way or another. That was so beautiful. I have literally nothing to add to it,  except to read a tweet that you wrote a couple days ago that I found very useful. You wrote,  I'm feeling a lot of things, not all bad, not all good, kind of scared and definitely nervous.  Mostly I'm committed to caring for myself. And the only thing I want to add to that is that,  you know, people need to take care of themselves and, you know, take care of yourself and remember,  like Ashley said, that every action that you take is casting a vote. That's very beautifully  put. I have nothing to add. Thanks John. Do you want to permanently replace Hank? He wouldn't "
9,0:04:21,0:04:32,SPEAKER 2," have been nearly as good in that one. Oh no, no, because I love listening to the pot. And I love  you guys's banter. And, you know, Hank has such a particular way of talking. It is so fast. "
10,0:04:32,0:04:38,SPEAKER 1," And it is so like, and he talks so fast that you think that he's smart. "
11,0:04:38,0:05:04,SPEAKER 2," You know what? If that's what he's doing, it's working. Okay? Because I'm usually like things happen  in the world. And I'm just like, you know, I'm really interested in how Hank is going to respond  to this because I know he's going to say smart things. And now I'm really questioning whether  not he's saying smart things. Or if I'm just like, sound smart, I'm in. Right. I think he might be "
12,0:05:04,0:05:55,SPEAKER 1," speaking very fast. And it's easy to mistake that. It's easy to mistake that for intelligence.  All right. I want to ask you some questions from our listeners. And maybe you can ask me some as  well since I know you have access to the magical Google doc. But I thought we could start with this  one. It comes from Caroline. But I'm pretty sure it doesn't actually come from Caroline. Ashley,  she writes, dear John and Hank, I want to start off by saying that I love your podcast. Thank you.  The reason I'm writing to you is because I just lost my class election for the senior class  secretarial position. I'm feeling very sad about the loss. And even though it was a close race,  I still feel as though my classmates do not like me enough to elect me to such a position.  What do you guys suggest in order to cope with this loss? And how do I still try to maintain a  position to make my senior year fun for my class? Now Ashley, I think we both know that Hillary Clinton "
13,0:05:55,0:06:11,SPEAKER 2," wrote this email. No, I think she did. I think she did. And pick Caroline of all names. And I'm  like as someone who went to North Carolina to talk to college students about, I'm a highly suspect "
14,0:06:11,0:06:36,SPEAKER 1," right now. I am so so suspicious. It's very suspicious. Oh, I called a lot of voters in North  Carolina in the five days before the election. Yeah, it was fascinating to talk to them. I did  greatly enjoy my many conversations with undecided voters in the days getting up to the election.  So yeah, I don't know. What do you say to somebody who is lost an election that's very important "
15,0:06:36,0:08:14,SPEAKER 2," to them? You know, I think that the beauty of elections, if there is a beauty, is that you really  have to like be committed to this idea that you might lose. You know, like there's this thing,  you know, like the beauty of it isn't the in the winning necessarily, but it is in the fact that  people have a choice. Like that's the beauty of an election is, you know, the choice and knowing  that people get to have that choice. And it doesn't mean it doesn't hurt. And it doesn't mean that  it doesn't smart a little bit. But I think, you know, I'm a realist who airs on the side of optimism  as a choice, you know. And what I found that has been true in my life is that anytime I didn't get  the thing I wanted, something better eventually came along for me that I would not have been  able to take part in had I gotten the thing that I thought I wanted. And it ended up being better  for me in the long run. And I'm not saying that that's true for everyone. And I'm not saying that  that's how it's always going to go. But I think there's a chance. And I think there's a lot to be  learned from our losses as well as our wins. And I think sometimes the lesson isn't just hours.  I think sometimes a person loses and the people who learn from that situation are the people  who either didn't choose that person or the people who didn't choose at all. That's again very "
16,0:08:14,0:09:22,SPEAKER 1," good advice. The only thing that I would add to that in my life, I've definitely found that I  learned more from failures and losses than I learned from successes. But it often takes me a while  before I understand what I've learned. Like in the moment, it can be very painful. But then  looking back on it later, I'm grateful for that experience. But I don't know how much it matters  to me in the moment that later I'll be grateful. Like I remember after I had this horrible breakup  just after the terrorist attacks on 9-11. And this woman and I had been living together. And we  thought we were going to get married and then we broke up. And it was very, very difficult for  me. And I went through a really hard time. And I remember my mother saying to me, one day you will  look back on this as one of the greatest things that ever happened to you. And I was like, well maybe  but not today. And I'm in today. Like I'm stuck in today and today sucks.  So it does suck. And I'm sorry. But I also do think that there will be lessons to be taken "
17,0:09:22,0:12:10,SPEAKER 2," from it. And you'll grow from it, Caroline. Absolutely. You absolutely will. And I had a similar  situation where I had a really bad breakup in college with someone who we were looking at apartments  together. And we were so in love. And we had never even been in a fight and all of these things.  And we got into one argument. And over the phone, he said, I just don't want to be a boyfriend anymore.  And it was terrible. And it threw me, you know, there are a lot of things going on in my life at  that point. But you know, that one situation just threw me into this really terrible depression. And  it was the worst of my life. And you know, that was about seven years ago. And I have not since then  felt anything that die or felt anything that bad until last week. And it was suddenly in last  week that I was like, that was the first time I've ever felt truly grateful for that bout of  terrible depression from 2009 was last week because suddenly I was looking at this depression that  felt, you know, or this feeling that felt insurmountable. And but it was so similar to that thing that  I had gotten over before that I was able to be like, oh no, now I know the way over. Like I know that  it's not easy. But I also don't look forward and think there's no way over or I'll never know the  way over. It's like, no, I've been here before. And it sucks that I'm back here. But I can get out.  Like, and I think that that's what's really hard in a moment, especially when you're hurting from  something that you're not used to dealing with is that you don't know the way over yet. And sometimes  like that is the lesson in that moment is now you know the way over from this place. All right,  John, I've got a question for you. It's from Daisy. I'm going to read it right now, cool.  Great. Dear Hank and John, my husband and I have been married for over five years now.  Together for eight and we always said we would be ready for kids at five years to give us time to  enjoy just being a married couple before we start a family. But five years has come and neither of us  feel well ready. Like I want kids. I want a family. But I don't have that I need a baby feeling  that I thought I would have. But part of me thinks that maybe that feeling will never come.  I've never been a baby person. And so the choice to have kids might be more driven by logic than  desire. Like this is a good time to start a family rather than I want a kid now. We are starting to  get the times taken comments from friends and family. But I don't want to make that important of  a decision based on others opinion. How do you know when you're ready to start a family? "
18,0:12:11,0:13:10,SPEAKER 1," This is a tough one. I think it really obviously it depends. And it's got to be a conversation with  your partner. For us, I don't think it was really a profound feeling of like we need to have a  baby in our lives. It was to be honest at least for me like more of a sort of I'm ready to enter  that part of my life now. And I'm excited to enter that part of my life now. Like we'd moved to  Indianapolis from New York and we had a lawn and we had a home and everything and there was a bedroom.  There was nothing to do with the bedroom. Henry, if you ever listen to this, I want to be clear that  I did not bring you into the world because we had a spare bedroom. But I don't know, Henry,  that sounds like that's what he's saying. We did. We did have a spare bedroom. Like there was room  in our lives for a kid which made it made it kind of make sense. I mean, I totally get that like in "
19,0:13:10,0:15:06,SPEAKER 2," some ways I am more prepared to be a mother than I have ever been in my entire life. And I am also  at a point where I am more adamant about making that decision exactly when I feel like it's right  than ever before. And you know, I did the opposite. You know, of a you and Sarah, I moved from  Indianapolis to New York. So now I'm in Brooklyn in this, you know, I mean, it's a good apartment,  but listen, I'm born and raised Hoosier. So for the amount of money that I'm spending, I still,  even though I like my apartment, often look at it and just get mad at it and kind of want to  like kick it or like, you know, or something because I'm like, all of this money, all of this  money for a one bedroom apartment and, you know, it's more like what I pay now in, you know, rent  is literally, I'm not kidding you. Literally five times what I paid when I was living in Indian apolis to share a four bedroom condo with two other people. And right. Yeah, that doesn't surprise me at  all. So it's so I'm very much, you know, my boyfriend and I, my partner and I Kelly, we are very  much of the mind that like, yet we might want to have kids at some point, but not here, you know,  every time I see somebody, every time we see somebody carrying a stroller up the subway steps,  we're like, why, why are you doing this to yourself? Like, there are places I promise where you  and it won't be like this. Like, it won't be this hard. And kids in New York just seem so jaded.  They're like at the Museum of Natural History looking at dinosaur bones, like, oh, again,  and I'm just like, what? They're dinosaurs, man, and kids here don't care about dinosaurs. "
20,0:15:06,0:16:43,SPEAKER 1," They're just like, I know, they're all little holding coffeeels. That's how I felt when I lived  in New York. I would always be like, oh, they're just, they're just the sweetest little holding  coffeeels everywhere you look. They are. But people, people do have babies in Brooklyn. In fact,  like, lots of them. Lots of them. So many. There are tons of strollers in Brooklyn. But yeah,  I feel, I mean, I think the reason I feel the same way is probably because I grew up, you know, in  in a suburban America. And so when I thought of having kids, I imagined lawns and neighborhoods and  cookouts and all the things that were part of my childhood. And so we never really considered  having kids when we lived in New York, although for the record, lots of people do it and do it  very successfully. I have many friends who live in New York and have kids and their kids are  lovely. It just was never in the cards for us. But yeah, I, I do think there's an element of it  never being quite the right time. The other thing is that on occasion, you know, the decision is made  for you. Yeah. Or in the case of Sarah and I, we thought we had a ton of control over the timing.  And then it turned out, of course, like we didn't. So, you know, it, there's an, there's an  element of, of, of chance to it that I don't know. You can potentially work that into your considerations.  But yeah, I think, I think ultimately probably the place to make that decision is not  while listening to the pod, but while talking to your partner. I agree. But I, and you know, like, "
21,0:16:43,0:18:21,SPEAKER 2," it's just one of those things where I'm glad to see someone, especially a woman, exploring,  you know, their decision making when it comes to having a baby. Like, I'm really glad to see  a woman stopping and saying, wait, like, am I doing this because I want to do it? Or am I doing it  because it's on a checklist and it's just the next thing. You know, I have so many, um,  women friends from college, you know, who have had babies at this point, um, on purpose and a couple  of them not on purpose, you know, but, you know, they have these babies and some of them are very  much like, you know, I had my baby. I wanted to have my baby and now I have them and it's the best  thing in the world. And others of them are like, I wish I'd waited. I wish I didn't think that like,  you know, well, I got married and then we bought a house. So now I have to have a baby. You know,  and I'm glad to see someone exploring that and really thinking about what they actually want and  what family looks like for them because not every family includes kids and that's totally okay.  And, you know, there are a lot of different ways to be a family. So start, you know, like,  I think it's important that, you know, if you're asking yourself, yourself these questions,  to just keep asking them. And I think eventually the answer will come to you. I think at some point,  it does become pretty clear whether you're going to do it or not. Right. And when that happens,  you know, it's just, it's really comforting to know that like this is not something I rushed into "
22,0:18:21,0:18:51,SPEAKER 1," and it's something that I really thought about. Yeah, no, I think that's a great point. And I do  think it's really important for women to be able to have those open conversations about  having kids, bringing kids up, not having to pretend like it's always easy or always fun or  like the pressure surrounding, especially I think motherhood don't exist because they do.  And the social societal pressures are really, really intense. "
23,0:18:52,0:19:50,SPEAKER 2," They are. Yeah. No doubt about it. And someone who was a nanny, as someone who was a nanny for several  years, I could tell you like the pressure on moms is intense. Yeah. And not so for nannies.  Okay. And he's like, we can really do whatever we want to be perfectly honest. Like the kids I  used to nanny, I still, you know, I go spend a couple days with them before Christmas almost every  year. Every time I'm in Indiana, I try to go see them. We all end up sleeping in the same bed.  It's the most fun in the world. But at the same time, I'm so aware. I'm so aware that like their mom  has done so much, like so much. And I just get to be fun miss Ashley shows up and doesn't have to  deal with like the mommy politics. So when I teach them to say, you know, terrible things, it's  because I can get away with that. And it's fun because it's miss Ashley. But if mom did it, she'd be, "
24,0:19:50,0:20:24,SPEAKER 1," you know, neglectful. Right. Yeah. All right. Ashley, I've got another question for you.  This one comes from Emma who writes, dear John and Hank, I was wondering why the space key on a  keyboard makes a different sound than all the other keys. Is it due to its size or perhaps is it  due to the urgency with which we finish our words and feel the need to get on to the next one?  I'd like to know because maybe I will now spend my study hall doing work instead of pondering this.  Oh my goodness. I think it's the finger you hit with. This is a real thing.  It is a real thing. Let's just establish that at the start. "
25,0:20:24,0:20:37,SPEAKER 2," It 100% is a real thing. I have thought about it a lot. I'm not kidding. Like the minute I read  that question, I started thinking about it. And you know what I think it is. I think it's just, "
26,0:20:37,0:20:43,SPEAKER 1, I think it's the finger that you hit the key with. I think I agree. I think it's the thumbness of it. 
27,0:20:43,0:21:04,SPEAKER 2," I think so too. I think your thumb is in my mind at least like your heaviest finger because it's  like stout and kind of fat and like weird. And also that like when you hit, at least when I hit  the space key, I'm always hitting it with the side and not even like the pad of my finger. "
28,0:21:04,0:22:39,SPEAKER 1," Right. It's not a fingertip. The way you hit a J. So there's actually a word for like the way  the keyboard feels when you push the key action. It's called the key action is when you push down  and the way that that feels and how different it feels on different keyboards. And in my early  writing career, I have OCD, but I would argue that this isn't necessarily a compulsive thing.  But I was very, very obsessive about key action and different keyboards. And this before I got  a laptop, I kept the same keyboard through several computers while I was writing looking for Alaska  because I felt very strongly that the key action was what made it possible for me to write well.  And when I would try other keyboards, I would be like, no, no, no, that sounds all wrong.  That's extremely distracting. Who could possibly write a good novel with this terrible keyboard?  So I would just take the old keyboard that I'd had since college and reinstall it into the new  computer. And I eventually got over that, but I did use a different keyboard for each book that I  wrote until the last five years, until the end of the fault in our stars. And now I've decided  to be a little bit less specific about it, but it is. It's so real, the way the keys feel when  you're writing. It's so real. It's part of the magic for me. It's so real. I still, you know, "
29,0:22:39,0:24:19,SPEAKER 2," I started writing on PCs. And so going to the map, which obviously has such a different key  action from the piece when you're on a map, I hated it. Like I immediately hated it. Like  low, like what I would, I used to, we didn't have a computer in our house until I was really like  either right before I went to college or after I went to college. Did we have a computer in our  home? But the library was very close to my home. And my brother and I used to walk to the library  all the time to use the computers. And I was the kid who would sign up specifically for a PC  computer. And I would wait like I would be like, there are five max open. And I would be like,  I don't care. I do not care. I will wait here. Don't mind me. I'm over here rereading this like  Lucille Ball biography. And then I'm going to walk over and do like my thing on the computer,  which to be fair was mostly like me writing stories about my life, which were real. But that I  pretended to, you know, fiction life. And then I'm looking up to see if anybody was posting lyrics  from Kinne logins albums because I love them. And I wanted to make sure I was singing the words,  right. But back then, not a lot of people were posting Kinne logins lyrics on the internet. So "
30,0:24:20,0:24:38,SPEAKER 1," yeah, I mean, you probably could have cornered that market if only you'd had a computer at home  by launching the definitive Kinne logins lyrics website. This is a thing that I find completely  fascinating about you. You are unironically deeply passionate about the songs of Kinne logins. "
31,0:24:38,0:24:45,SPEAKER 2," Yes. Absolutely. 100%. Like not even, yeah, like not even funny. Like it's, it's real. It's very very "
32,0:24:45,0:24:58,SPEAKER 1," important. Yeah, no, it does. Yeah. And I think it's great. I'm in favor of people being super  enthusiastic and unembarassed about the stuff that they love, whether that's Kinne logins albums "
33,0:24:58,0:26:12,SPEAKER 2," or anything else. Well, you know, I just like, I've always, people ask me this a lot. Like,  I've had quite a few people who have met me in person who first met me on the internet. And they  will be like, you are so much of who you are on the internet. Like it's all the same. And I'm like,  oh, I'm just like, this is not, I'm just really bad at pretending. Like super bad at it. Like,  I'm really terrible at it. Like I can't keep it up. The thing is, is that like I could, you know,  have an account online or, you know, wherever and like sort of pretend to be a different way for  a little while. And then I would just be so exhausted that you'd be like, Ashley, what's wrong  with you? Like I would be like a robot shutting down. Like I would start to say things that didn't  make sense. And you'd be like, what's happening? And I would be like, I was pretending. And I'm sorry.  I have to go back to being me now, which means I'm going to like listen to celebrate me home  a lot. And also means like, you know, the return to Pooh Corner album is my faith. You know, I'm  going to watch Golden Girls a lot. I'm going to watch the nanny a lot. It's like these are just  things that are part of who I am. And you know, they're not harmful. So what do I have to hide? I guess. "
34,0:26:13,0:27:10,SPEAKER 1," I think it's great. And I think it encourages everybody who has their weird, the weird thing that  they love to love it without any hesitation or embarrassment. And Emma, that includes you and  your fascination with keyboards, which I am 100% behind. So Ashley and I theorize that it is because  you're hitting the space bar with the side of your stoutest digit that causes the thud. But I will  say, I don't think there is anything in my life that I like more than when I'm writing and it's  going well. And that sense of it's almost like the rhythmic thud of the space bar is it's almost  like that's the like you're driving at night. And that's the that's the site of those lane lines  going past your car or something. It's just tremendously fulfilling to hit that space bar and feel "
35,0:27:10,0:27:37,SPEAKER 2, like you're moving. I imagine it's what people who write or have written on type writers a lot  feel when they hear that little like ding at the end when there's like that thing that's just like  ding. And then like it goes back to the other side. It's like wow. It's like another row. How dare I  be this amazing? Like how dare I be this awesome to like just hear all these dings while I'm writing. 
36,0:27:37,0:27:54,SPEAKER 1, Like I'm on fire over here. Yeah. Yeah. It's that feeling. It's that that's the feeling of like  being on fire. And I totally agree with you about the Mac keyboard being utterly suboptible when  it comes to that feeling because there's almost no key action in these keys. No. There's almost none. 
37,0:27:54,0:28:30,SPEAKER 2," It feels like like there's little pillows under them or something. And I'm like, I don't  need it. Yeah. I don't want pillows under my keys, man. Like I want like I don't even want key  action. I want key impact. Okay. Like I want it to come together. And I want to like hear like  the click click click like I need it. So yeah. That's basically where we stand on these keyboards.  I have frequently wondered if I should just like do the thing where you put your Mac up on like a  stand. And then have like your PC keyboard attached to it that you type. Yeah. Yeah. Because maybe "
