,Start,End,Speaker,Text
0,0:00:00,0:00:05,SPEAKER 2," Do the song is fucked up, but it's so true. "
1,0:00:05,0:00:07,SPEAKER 4," He's 18, but he's been through some shit. "
2,0:00:07,0:00:09,SPEAKER 3," Oh, let me just rip this real quick. "
3,0:00:12,0:00:14,SPEAKER 4," Oh, good try though. Good try. "
4,0:00:16,0:00:24,SPEAKER 3," Hello, my little kittens.  Do I have an order for you today or what?  The merch is re-releasing and it's coming out this Thursday  if you're one of our juicy sweet Patreon members. "
5,0:00:24,0:00:31,SPEAKER 1," Wait, why are you reading like that?  Well thought.  What are you doing like that?  Yeah, what are you doing?  What is happening?  We asked you to be natural for one. "
6,0:00:31,0:00:32,SPEAKER 3," Hello, my little kittens. "
7,0:00:32,0:00:34,SPEAKER 2, Don't call me not a Patreon member. 
8,0:00:34,0:00:36,SPEAKER 3, Monday's the day for you when the merch comes out. 
9,0:00:36,0:00:38,SPEAKER 2, That cat is so cute. 
10,0:00:38,0:00:39,SPEAKER 3, Is that a new hat? 
11,0:00:39,0:01:07,SPEAKER 2," What a lot of we're trying to say is our merch is coming out  because it's sold out really fast from doing it again.  And we have a hat that we're selling now, new item.  And if you're a tier 3 or tier 4 on the Patreon,  you can get it early because last time it sold out in two minutes  which we did not expect to happen.  But just scared us.  If you want to get it before it sells out, you can join the Patreon.  If you want to gamble, which is kind of tight,  it'll be out Monday.  But it'll be out Thursday.  This Thursday.  Wait, today?  That this episode's coming out.  Whoa! "
12,0:01:07,0:01:10,SPEAKER 1," Well, if it's on the video.  Crazy how the future is.  You're watching the video. "
13,0:01:10,0:01:11,SPEAKER 2, Sorry. 
14,0:01:11,0:01:13,SPEAKER 3," You're watching the video episode.  Oh, see you then, my little kittens. "
15,0:01:13,0:01:16,SPEAKER 2," Yeah, so now let's go into the actual goddamn episode.  Discounting for $5 off. "
16,0:01:16,0:01:17,SPEAKER 3, That's not a discount. 
17,0:01:17,0:01:19,SPEAKER 2, Not a real discount.  Not a discount. 
18,0:01:19,0:01:21,SPEAKER 3, We're not trying it.  But you should try it. 
19,0:01:21,0:01:24,SPEAKER 1, It won't work.  And it won't work.  We don't know. 
20,0:01:24,0:01:27,SPEAKER 4, It's actually crazy because we do know.  Enjoy the art. 
21,0:01:27,0:01:28,SPEAKER 2, We enjoy the art. 
22,0:01:28,0:01:32,SPEAKER 3, Maybe.  We were doing Mormon family pictures.  Is that what does that mean? 
23,0:01:32,0:01:34,SPEAKER 1, Is that a genre?  It is. 
24,0:01:34,0:01:39,SPEAKER 3, It's like the pictures you see in a target  when you buy a picture frame and it's a family that's there.  It's the default. 
25,0:01:39,0:01:40,SPEAKER 1, Yeah. 
26,0:01:40,0:01:45,SPEAKER 3," I saw it get made.  I saw the sausage.  They were all standing there.  They were like white dresses, "
27,0:01:45,0:01:46,SPEAKER 1, blush dresses. 
28,0:01:46,0:01:51,SPEAKER 3," And it was like in an ocean that was packed,  but we were just there anyway.  It's sunset. "
29,0:01:51,0:01:54,SPEAKER 2, Were they wearing their ears?  They're like Disney ears all in the... 
30,0:01:54,0:01:55,SPEAKER 3, I wish. 
31,0:01:56,0:01:58,SPEAKER 1, With all their names in the cursive font on the video. 
32,0:01:58,0:02:02,SPEAKER 4, It's like all the family members.  And then there's like many Mickey and Goofy. 
33,0:02:02,0:02:03,SPEAKER 1, Like on the side. 
34,0:02:03,0:02:10,SPEAKER 3," We brought cash members.  Yeah.  It was really expensive.  But I took the pictures,  and then you get wet during it.  By the way, the photographer. "
35,0:02:10,0:02:11,SPEAKER 1, I bet you do. 
36,0:02:11,0:02:14,SPEAKER 2, I bet you do.  What's up? 
37,0:02:14,0:02:18,SPEAKER 3," During the photographer's zero flash,  shooting into the sunset. "
38,0:02:18,0:02:20,SPEAKER 2, Baller.  Fuck it. 
39,0:02:20,0:02:21,SPEAKER 1," Wait, is that... "
40,0:02:21,0:02:22,SPEAKER 3, Canon 3D. 
41,0:02:22,0:02:25,SPEAKER 2, Let's get it.  Canon 3D. 
42,0:02:25,0:02:28,SPEAKER 3," I got camera.  When I said it, I felt like it was... "
43,0:02:28,0:02:29,SPEAKER 1," I know, you're like computer. "
44,0:02:29,0:02:33,SPEAKER 2," What's that?  It makes 3D.  Yeah, the cool thing about Mormon family photos "
45,0:02:33,0:02:36,SPEAKER 4, is you put on the red and blue glasses from Spikes. 
46,0:02:36,0:02:37,SPEAKER 1, Can you look at them? 
47,0:02:37,0:02:41,SPEAKER 2," Dude, when you go to the family photos.  That'll be so tight. "
48,0:02:41,0:02:44,SPEAKER 3, It shoots out like the smell.  So it's 4D. 
49,0:02:44,0:02:56,SPEAKER 2," It's just all your nipples.  So it's a shirtless family photo.  And all your nipples have the 3D film on it.  I actually don't really know how it works.  And then you wear the red cyan glasses  and all the nipples are coming in.  I like that, yeah. "
50,0:02:56,0:03:00,SPEAKER 4, It's tradition in the Mormon home  to offer your guest a pair of glasses 
51,0:03:00,0:03:01,SPEAKER 3, so that they can look at nipples. 
52,0:03:01,0:03:03,SPEAKER 2, They can enjoy all your photos in your home. 
53,0:03:03,0:03:12,SPEAKER 1," Yeah, they can view the photos nicely.  And the longer the nipples,  the longer you've been in the family.  It's like rings on a tree.  And you're the... "
54,0:03:12,0:03:13,SPEAKER 2, It'll long in the nipple. 
